time,recvpackets@tsung_controller@ip-172-31-19-35 
10,777 
20,750.0 
30,719.0 
40,1217.0 
50,1457.0 
60,1526.0 
70,1.8e3 
80,2502.0 
90,2542.0 
100,3202.0 
110,3252.0 
120,3051.0 
130,4065.0 
140,4052.0 
150,4182.0 
160,4586.0 
170,5020.0 
180,5229.0 
190,5529.0 
200,5676.0 
210,6281.0 
220,6935.0 
230,6.8e3 
240,7209.0 
250,8095.0 
260,8706.0 
270,8269.0 
280,9471.0 
290,9733.0 
300,9205.0 
310,10618.0 
320,10265.0 
330,10488.0 
340,6962.0 
350,6103.0 
360,5796.0 
370,3707.0 
380,2984.0 
390,3081.0 
400,3101.0 
405,1506.0 
