time,users_count,finish_users_count 
0,95,0 
10,206,0 
20,302,0 
30,423,21 
40,584,79 
50,726,142 
60,909,186 
70,1107,266 
80,1299,394 
90,1566,518 
100,1815,665 
110,2042,835 
120,2315,1016 
130,2602,1218 
140,2881,1433 
150,3209,1657 
160,3538,1894 
170,3885,2171 
180,4272,2440 
190,4662,2716 
200,5066,3038 
210,5501,3357 
220,5926,3693 
230,6368,4045 
240,6892,4409 
250,7402,4812 
260,7881,5204 
270,8439,5617 
280,9023,6063 
290,9548,6515 
300,10181,6947 
310,10767,7397 
320,11341,7965 
330,11348,8566 
340,11348,9189 
350,11348,9759 
360,11348,10210 
370,11348,10475 
380,11348,10703 
390,11348,10957 
400,11348,11252 
405,11348,11348 
