time,users,connected 
0,95,90 
10,206,202 
20,302,302 
30,402,400 
40,505,500 
50,584,582 
60,723,704 
70,841,807 
80,905,879 
90,1048,1014 
100,1150,1113 
110,1207,1166 
120,1299,1257 
130,1384,1336 
140,1448,1411 
150,1552,1500 
160,1644,1576 
170,1714,1664 
180,1832,1768 
190,1946,1873 
200,2028,1963 
210,2144,2051 
220,2233,2152 
230,2323,2234 
240,2483,2390 
250,2590,2449 
260,2677,2507 
270,2822,2563 
280,2960,2630 
290,3033,2736 
300,3234,2667 
310,3370,2771 
320,3376,2807 
330,2782,2387 
340,2159,1851 
350,1589,1386 
360,1138,1037 
370,873,753 
380,645,504 
390,391,294 
400,96,98 
405,0,0 
